Sr No.,t_id,Code,parent_id,Word,Short Defination,Long Defination,reference
81,81,SAT-F.80,60,Artavajanana,drugs stimulating menstrual blood flow or ovulation,dravya producing/inducing menstrual blood flow or ovulation,
82,82,SAT-F.81,60,garBasthApakaH,preventive measures for abortion and promotive measures for fetal health and quality,medicines used to prevent the abortion and to promote health and qualities of intrauterine fetus.,
83,83,SAT-F.82,60,garBasthApanam/ prajAsthApanam,substances which helps sustenance of fetus,therapeutic measure which counteract the effect of harmful factors (acting as anti abortifacient) and helps in proper maintenance of fetus or pregnancy and also promotes fertility,
84,84,SAT-F.83,60,garBaSAtana-dravyam/garBapAtana-dravyam,abortificient drugs,drugs which induces abortion,
85,85,SAT-F.84,60,garBapratibandhakayogaH/vandhyAkarayogaH,�contraceptive drugs,drugs which prevent conception,
86,86,SAT-F.85,60,Avijananam,labor inducing drugs,dravya having ability to induce labor pain,
87,87,SAT-F.86,60,stanyajananam,galactagogue,substances which increases the volume of breast milk,
88,88,SAT-F.87,60,stanyaSodhanam,galacto depurant,substances which rectifies vitiated breast milk,
89,89,SAT-F.88,60,netryam,dravya or intervention good for eye and eye sight,treatment modalities or drugs which are beneficial for the the eye,
90,90,SAT-F.89,60,cakShuShyam,dravya or intervention good for eye and eye sight,synonym of netrya,
91,91,SAT-F.90,60,tvacyam,beneficial for skin,dravya or procedures which are beneficial to the skin,
92,92,SAT-F.91,60,varNyam,complexion promoting/normal skin colour restorer,dravya which enhance complexion of skin or restores normal colour of skin,
93,93,SAT-F.92,60,kaNThyam,beneficial for throat or voice,dravya which can be used in diseases of throat,
94,94,SAT-F.93,60,svaryam,beneficial for voice,"therapeutic regime, diet or food beneficial for throat and voice",
95,95,SAT-F.94,60,rucyam,taste enhancers,medicine or diet which enhance taste,
96,96,SAT-F.95,60,hRudyam,beneficial for heart / palatable and pleasing to mind,"treatment modalities or medicinal drugs which are beneficial for the heart, palatable or pleasing to mind",
97,97,SAT-F.96,60,praSamanam,pacification of do?a,therapy aimed at normalization or subsiding the do?a up to the limit of equilibrium unlike ?odhana where the do?a are removed outside the body,
98,98,SAT-F.97,60,prasAdanam,quality enhancing,procedure which enhances the quality of body constituents,
99,99,SAT-F.98,60,ShaDindriya-prasAdanam,substances which are pleasing to all cognitive organs,�substances which soothes the five sensory organs along with the mind,
100,100,SAT-F.99,60,agadaH,antitoxic,medicince which counteract the action of various poisons,
101,101,SAT-F.100,60,aviSham/ nirviSham,non-toxic,dravya which are not toxic / state where toxins have been removed,
102,102,SAT-F.101,60,avipAki/apAki,indigestible,one of the attributes or properties of vi?a,
103,103,SAT-F.102,60,ASukArI,fast acting,ability of the dravya of being fast acting,
104,104,SAT-F.103,60,vyavAyI,substances with quick spread even without digestion,quality due to which a substance permeates all over the body before getting digested,
105,105,SAT-F.104,60,vikAShI/ vikAsI,property of substance resulting in quick spread and action,property of a substance by virtue of which it gets distributed all over the body without passing through routine digestive process and causes depletion of ojas and displaces tissues from their physiological places,
106,106,SAT-F.105,60,madakArI,narcotics or delirifacients,dravya which intoxicates the body and affects the intellect,
